item,word_1,word_2,word_3,word_4,condition,audio_file,word_onset,word_offset,audio_offset,audio_timeout,word_loc,w1_x,w1_y,w2_x,w2_y,w3_x,w3_y,w4_x,w4_y
1,pie,pi,cake,dust,sem_phon,05.mp3,1393,1997,2090,6090,1,-225,-150,225,-150,225,150,-225,150
2,file,phial,record,corn,sem_phon,01.mp3,1428,1916,2038,6038,2,-225,-150,-225,150,225,150,225,-150
3,cellar,seller,basement,arena,sem_phon,02.mp3,1649,2159,1959,5959,3,-225,-150,-225,150,225,-150,225,150
4,mail,male,letter,earring,sem_phon,03.mp3,1927,2392,2194,6194,4,-225,-150,225,-150,-225,150,225,150
5,war,wore,combat,sea,sem_phon,04.mp3,1602,2055,2429,6429,5,-225,-150,225,150,-225,150,225,-150
6,palette,palate,easel,leader,sem_phon,06.mp3,1533,2090,2116,6116,6,-225,-150,225,150,225,-150,-225,150
7,oar,ore,boat,egg,sem_phon,07.mp3,1625,2032,2064,6064,7,225,-150,-225,-150,225,150,-225,150
8,ball,bawl,game,mug,sem_phon,08.mp3,1451,1881,1907,5907,8,225,-150,-225,150,225,150,-225,-150
9,root,route,stem,blind,sem_phon,09.mp3,1800,2299,2325,6325,9,225,-150,-225,150,-225,-150,225,150
10,steak,stake,meal,door,sem_phon,10.mp3,1242,1823,2011,6011,10,225,-150,-225,-150,-225,150,225,150
11,story,storey,tale,bandage,sem_phon,11.mp3,1416,2067,2116,6116,11,225,-150,225,150,-225,150,-225,-150
12,waste,waist,trash,disc,sem_phon,12.mp3,2090,2786,2821,6821,12,225,-150,225,150,-225,-150,-225,150
13,dough,doe,phone,mouse,phon,13.mp3,1498,1892,1881,5881,13,-225,150,-225,-150,225,150,225,-150
14,cash,cache,pen,cello,phon,14.mp3,1637,2264,2299,6299,14,-225,150,-225,-150,225,-150,225,150
15,carat,carrot,hoover,bulb,phon,15.mp3,1498,2101,2142,6142,15,-225,150,225,150,-225,-150,225,-150
16,eave,eve,mask,cube,phon,16.mp3,1405,1788,1829,5829,16,-225,150,225,-150,225,150,-225,-150
17,brake,break,mirror,leaf,phon,17.mp3,1451,1950,1985,5985,17,-225,150,225,-150,-225,-150,225,150
18,gauze,gores,card,train,phon,18.mp3,1277,1823,1855,5855,18,-225,150,225,150,225,-150,-225,-150
19,quay,key,pea,vice,phon,19.mp3,1335,1765,1802,5802,19,225,150,-225,-150,-225,150,225,-150
20,leak,leek,triangle,cotton,phon,20.mp3,1358,1741,1776,5776,20,225,150,-225,150,225,-150,-225,-150
21,pedal,peddle,wire,cone,phon,21.mp3,1553,2020,2064,6064,21,225,150,-225,-150,225,-150,-225,150
22,vein,vane,guitar,ball,phon,22.mp3,1509,2032,2064,6064,22,225,150,225,-150,-225,150,-225,-150
23,sink,sync,wrench,aerial,phon,23.mp3,1521,2009,2038,6038,23,225,150,-225,150,-225,-150,225,-150
24,wheel,weal,battery,sprout,phon,24.mp3,1544,1939,1985,5985,24,225,150,225,-150,-225,-150,-225,150
25,altar,table,church,slingshot,sem,25.mp3,1591,2148,2194,6194,1,-225,-150,225,-150,225,150,-225,150
26,brows,clock,lip,wrapper,sem,26.mp3,1997,2694,2743,6743,2,-225,-150,-225,150,225,150,225,-150
27,scent,water,smell,paper,sem,27.mp3,2020,2543,2586,6586,3,-225,-150,-225,150,225,-150,225,150
28,eye,phone,pupil,candlestick,sem,28.mp3,1741,2287,2325,6325,4,-225,-150,225,-150,-225,150,225,150
29,herd,gold,flock,hub,sem,29.mp3,1416,1800,1829,5829,5,-225,-150,225,150,-225,150,225,-150
30,hair,cord,beard,puzzle,sem,30.mp3,1451,1800,1829,5829,6,-225,-150,225,150,225,-150,-225,150
31,meat,lamp,chicken,coal,sem,31.mp3,1370,1892,1933,5933,7,225,-150,-225,-150,225,150,-225,150
32,paws,salt,tail,thread,sem,32.mp3,1219,1776,1802,5802,8,225,-150,-225,150,225,150,-225,-150
33,pier,grass,dock,bobbin,sem,33.mp3,1335,1778,1829,5829,9,225,-150,-225,150,-225,-150,225,150
34,band,field,song,tub,sem,34.mp3,1196,1753,1802,5802,10,225,-150,-225,-150,-225,150,225,150
35,tide,fleet,moon,bottle,sem,35.mp3,1486,1997,2038,6038,11,225,-150,225,150,-225,150,-225,-150
36,ode,iron,rhyme,case,sem,36.mp3,1300,1649,1802,5802,12,225,-150,225,150,-225,-150,-225,150
37,camera,hat,scales,yo-yo,control,37.mp3,1521,2078,2116,6116,13,-225,150,-225,-150,225,150,225,-150
38,beer,handbag,stopwatch,chip,control,38.mp3,1196,1579,1620,5620,14,-225,150,-225,-150,225,-150,225,150
39,gun,monitor,painting,mascara,control,39.mp3,1405,1776,1802,5802,15,-225,150,225,150,-225,-150,225,-150
40,sword,cactus,plunger,rivet,control,40.mp3,1265,1904,1933,5933,16,-225,150,225,-150,225,150,-225,-150
41,balloon,shovel,football,swimsuit,control,41.mp3,1486,2113,2142,6142,17,-225,150,225,-150,-225,-150,225,150
42,razor,clock,magazine,wand,control,42.mp3,1231,1834,1881,5881,18,-225,150,225,150,225,-150,-225,-150
43,shorts,megaphone,hotdog,crown,control,43.mp3,1219,1811,1855,5855,19,225,150,-225,-150,-225,150,225,-150
44,tent,soap,domino,crocus,control,44.mp3,1533,2020,2064,6064,20,225,150,-225,150,225,-150,-225,-150
45,saxophone,printer,ashtray,biscuit,control,45.mp3,1416,2485,2534,6534,21,225,150,-225,-150,225,-150,-225,150
46,car,syringe,vase,mitten,control,46.mp3,1405,1811,1855,5855,22,225,150,225,-150,-225,150,-225,-150
47,comb,axe,postcard,handbook,control,47.mp3,1486,1950,1985,5985,23,225,150,-225,150,-225,-150,225,-150
48,toothpaste,scissors,flag,bone,control,48.mp3,1474,2415,2456,6456,24,225,150,225,-150,-225,-150,-225,150
