StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,device,inputs,meta_info_Browser,meta_info_Version,meta_info_Operating System,meta_info_Resolution,demographics_gender,demographics_year,demographics_month,RandomId,Create New Field or Choose From Dropdown...,labjs-data
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - I confirm I am over the age of 18,Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - I have read and understood the information page for the study,Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - I understand that participation is entirely voluntary and I have the right to withdraw by closing my browser. I understand I must contact the researcher with my code to have my data deleted if I choose to withdraw,Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - I understand that data can be withdrawn up to two weeks after the study by contacting the researcher with my 6-digit code to have my data deleted,Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - I understand that completely anonymous data from this study may be shared with other researchers or used for teaching purposes,"Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - As the study requires me to identify words on screen, I confirm I am able to read and understand the English language","Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - As the study requires me to listen to an audio narrative, I can confirm that I have sufficient hearing to listen to computer audio","Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - As the study requires me to look at an image, I can confirm that I have adequate sight to view an image on a computer screen",Please indicate whether or not you agree with the following statements. Please note that the study will not progress beyond this point if No is selected for any option. - I give consent to take part in the study,What sort of device are you using?,Are you using a mouse or trackpad with your device?,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,Please indicate your gender,What year were you born?,What month were you born?,RandomId,Create New Field or Choose From Dropdown...,labjs-data
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID37_BROWSER""}","{""ImportId"":""QID37_VERSION""}","{""ImportId"":""QID37_OS""}","{""ImportId"":""QID37_RESOLUTION""}","{""ImportId"":""QID21""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""RandomId""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""labjs-data""}"
2020-07-15 12:51:37,2020-07-15 12:52:34,IP Address,100,56,True,2020-07-15 12:52:34,R_d07hEVTKRGlmCxX,NA,anonymous,EN-GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Phone,NA,NA,NA,NA,NA,NA,NA,NA,114979,NA,NA
2020-07-15 12:52:47,2020-07-15 12:53:26,Spam,100,38,True,2020-07-15 12:53:26,R_2fcVDJCEuMDXQtU,NA,anonymous,EN-GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Phone,NA,NA,NA,NA,NA,NA,NA,NA,409703,NA,NA
2020-07-15 12:54:04,2020-07-15 12:54:40,IP Address,100,35,True,2020-07-15 12:54:40,R_2THTWo2jstIxS5K,NA,anonymous,EN-GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Tablet,NA,NA,NA,NA,NA,NA,NA,NA,265335,NA,NA
2020-07-15 17:49:56,2020-07-15 17:51:01,IP Address,100,64,True,2020-07-15 17:51:01,R_3Kpb4gOMS3PkoL7,NA,anonymous,EN-GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Phone,NA,NA,NA,NA,NA,NA,NA,NA,668840,NA,NA
