random_id,new_id,data_type,sim_num,condition,sum_correct,mean_rt,sd_rt,n
21000,1,real,NA,control,12,3711.327333333917,683.9443910450586,12
21000,1,real,NA,phon,12,3457.4003333342202,528.2378450301521,12
21000,1,real,NA,sem,12,3616.51516666763,749.3819714174449,12
21000,1,real,NA,sem_phon,10,3509.9155000007986,626.7463942999939,10
24546,2,real,NA,control,12,2636.7209166673615,368.25410108255255,12
24546,2,real,NA,phon,10,2306.7718333353896,413.476972819488,12
24546,2,real,NA,sem,12,2351.01691666923,368.2925566298415,12
24546,2,real,NA,sem_phon,11,2271.4493333325427,401.57557208124166,12
24665,3,real,NA,control,12,2128.557166666976,459.4980417725068,12
24665,3,real,NA,phon,12,2291.536833333919,458.7004632667441,12
24665,3,real,NA,sem,12,2218.350000000462,420.5211161832637,12
24665,3,real,NA,sem_phon,11,2219.1440833339198,383.7963307886063,12
51297,4,real,NA,control,12,2117.9696667310395,257.2609245278838,12
51297,4,real,NA,phon,10,2584.156166748721,751.8703839385705,12
51297,4,real,NA,sem,12,2410.454416751021,288.67431894878683,12
51297,4,real,NA,sem_phon,12,2712.486333423603,658.800262583342,12
55319,5,real,NA,control,12,2329.5960833163795,515.1898707536348,12
55319,5,real,NA,phon,12,2388.703749977654,560.2313575780355,12
55319,5,real,NA,sem,12,2285.046166648351,543.9587191801766,12
55319,5,real,NA,sem_phon,11,2259.7478333094914,247.93555248253907,12
117012,6,real,NA,control,12,1769.29083333341,414.78503940946035,12
117012,6,real,NA,phon,11,2175.3065833337387,689.4132988003038,12
117012,6,real,NA,sem,12,2131.6099166672757,524.5821414388203,12
117012,6,real,NA,sem_phon,10,2054.7458333336326,498.6306565385697,12
155425,7,real,NA,control,12,2404.5042499945503,411.0904366200833,12
155425,7,real,NA,phon,11,2397.1524166449612,647.4615074814399,12
155425,7,real,NA,sem,12,2269.03049999231,388.0026331186887,12
155425,7,real,NA,sem_phon,10,2324.5470909079486,607.098386863989,11
155528,8,real,NA,control,12,2187.6166666666645,293.1310768343498,12
155528,8,real,NA,phon,11,2012.443333333328,600.5771019056059,12
155528,8,real,NA,sem,12,2309.8649999999966,187.93828215666744,12
155528,8,real,NA,sem_phon,12,1942.0216666666613,685.9575746466785,12
160387,9,real,NA,control,12,1819.3236666643613,225.86293325408764,12
160387,9,real,NA,phon,8,2065.6114999984347,461.9582135533135,12
